Star,Protocol,Network,Symbol,Name,Token Address,Underlying Address,Held Address,Oracle1,Address,Oracle2,Address,AlternativePricing,Notes,API Instructions,CoingeckoId
spark,curve,ethereum,sUSDSUSDT,Spark.fi USDT Reserve,0x00836Fe54625BE242BcFA286207795405ca4fD10,,spark.ethereum.alm,n/a,,,,,,,n/a
spark,sparklend,ethereum,spUSDC,Spark USDC,0x377C3bd93f2a2984E1E7bE6A5C22c525eD4A4815,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,spark.ethereum.alm,core,,,,,,,n/a
spark,sparklend,ethereum,spUSDS,Spark USDS,0xC02aB1A5eaA8d1B114EF786D9bde108cD4364359,0xdC035D45d973E3EC169d2276DDab16f1e407384F,spark.ethereum.alm,core,,,,,,,n/a
spark,sparklend,ethereum,spUSDT,Spark USDT,0xe7dF13b8e3d6740fe17CBE928C7334243d86c92f,0xdAC17F958D2ee523a2206206994597C13D831ec7,spark.ethereum.alm,core,,,,,,,n/a
spark,sparklend,ethereum,spDAI,Spark DAI,0x4DEDf26112B3Ec8eC46e7E31EA5e123490B05B8B,0x6B175474E89094C44Da98b954EedeAC495271d0F,spark.ethereum.alm,core,,,,,,,n/a
spark,arkis,ethereum,sparkPrimeUSDC1,Spark Prime USDC 1,0x38464507E02c983F20428a6E8566693fE9e422a9,,spark.ethereum.alm,none,,,,erc4626 totalAssets,API is also available,"Arkis API docs: https://docs.arkis.xyz/home/for-developers

Only relevant endpoints are https://api.arkis.xyz/e/v1/vaults to fetch vault ids associated to particular Prime Agent's API key, and https://api.arkis.xyz/e/v1/vaults/{vault_id} to fetch current exposures for each vault.

Unfortunately, I lost Spark's Arkis API Key, so it will need to be requested again.",none
spark,anchorage,ethereum,Anchorage,Anchorage,none,,spark.ethereum.anchorage,none,,,,,pricing only available via API,"Anchorage API docs: https://developers.anchorage.com/ (password is ""anchor"")

Routes applicable to Prime Agent allocations are found under ""Vaults"" and within the ""Atlas"" category, under ""Collateral Management"".

We can retrieve the principals of all loans for a particular Prime Agent, given their read-only API key ${AGENT_KEY}, with the following:
curl -X GET ""https://api.anchorage.com/v2/collateral_management/exposures"" \
  -H ""Api-Access-Key: ${AGENT_KEY}"" \
  -H ""Accept: application/json""",none
spark,aave,avalanche,aAvaUSDC,Aave Avalanche USDC,0x625e7708f30ca75bfd92586e17077590c60eb4cd,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,spark.avalanche.alm,core,,,,,,,n/a
spark,maple,ethereum,syrupUSDC,Syrup USDC,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,,spark.ethereum.alm,pyth,pythId:0xe616297dab48626eaacf6d030717b25823b13ae6520b83f4735bf8deec8e2c9a,maple API,,erc4626 totalAssets,Chonicle and Chainlink (on Ethereum) oracles do not exist for syrupUSDC. Chainlink pull oracle appears to have existed but not any longer.,Maple GraphQL API docs: https://studio.apollographql.com/public/maple-api/variant/mainnet/home,syrupusdc
spark,curve,ethereum,PYUSDUSDS,Spark.fi PYUSD Reserve,0xA632D59b9B804a956BfaA9b48Af3A1b74808FC1f,,spark.ethereum.alm,n/a,,,,,,,n/a
spark,sparklend,ethereum,spPYUSD,Spark PYUSD,0x779224df1c756b4EDD899854F32a53E8c2B2ce5d,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,spark.ethereum.alm,chainlink pull,chainlinkId:0x0003313e5ba57741dd23e2e239730977b3a2a65fcdca08a8609c6e5bac09f88f,pyth,pythId:0xc1da1b73d7f01e7ddd54b3766cf7fcd644395ad14f70aa706ec5384c59e76692,,,,n/a
