venue_id,label,value_som,value_eom,period_inflow,revenue,actual_revenue,br_charge,sky_direct_shortfall
E1,Aave Horizon RWA RLUSD (aToken),140173858.0660414896893478090,135317040.9826294351150130440,-5005078.229623196496178461,148261.1462111419218436960,148261.1462111419218436960,0,0
E2,Aave Horizon RWA USDC (aToken),0.00000100,0.00000100,0,0E-8,0E-8,0,0
E3,Aave Ethereum RLUSD (aToken),263125087.2861249964150795850,138267796.4244791151080042960,-125064023.854724322385122355,206732.9930784410780470660,206732.9930784410780470660,0,0
E4,Grove x Steakhouse USDC (Morpho 4626),1002368.854730530044090630068,3954260.398216645214883518357,2935334.3795127200,16557.163973395170792888289,16557.163973395170792888289,0,0
E5,Grove x Steakhouse USDC High Yield (Morpho 4626),1012325.676838511873820389690,0E-8,-1014076.2117985200,1750.534960008126179610310,1750.534960008126179610310,0,0
E6,Grove x Steakhouse AUSD (Morpho 4626),15806005.09627440917093849527,18646064.03664091757474164158,2800015.3661029000,40043.57426360840380314631,40043.57426360840380314631,0,0
E7,Securitize Tokenized AAA CLO Fund (STAC),100804666.100000,100932589.900000,0,127923.800000,127923.800000,0,0
E8,Janus Henderson Anemoy AAA CLO (JAAA),455365159.121762836732,128240953.654654101054,-327176624.4173258,52418.950217064322,52418.950217064322,0,0
E9,Janus Henderson Anemoy Treasury Fund (JTRSY),561873240.344357620512,1160073937.731621115642,596049191.95004544,0,2151505.437218055130,2731821.736575844070414502616,580316.299357788940414502616
E10,BlackRock USD Institutional Digital Liquidity Fund (BUIDL-I),430205099.0300,706747881.3200,274985000.000,0,1557782.2900,1748310.770208453268670557820,190528.480208453268670557820
E11,Curve AUSD/USDC stableswap LP,25000444.77729783759305342734,25000938.94809113655967149288,0E-44,494.1707932989666180655400000,494.1707932989666180655400000,0,0
E12,Uniswap V3 AUSD/USDC pool (NFT positions),25008038.967491,25015282.512565,0,7243.545074,7243.545074,0,0
E13,RLUSD raw (ALM idle),0.00,0.00,0,0.00,0.00,0,0
E14,AUSD raw (ALM idle),0.00,0.00,0,0.00,0.00,0,0
E15,USDC raw (ALM idle),0.00,9999494.26549100,9999494.26549101250,-1.250E-8,-1.250E-8,0,0
E16,DAI raw (ALM idle),0.00,0.00,0,0.00,0.00,0,0
E17,USDS raw / POL (ALM idle — already netted out of utilized),0.00,0.00,0,0.00,0.00,0,0
E18,sUSDS raw / POL (ALM idle — Cat B 4626),0E-20,0E-20,0,0E-20,0E-20,0,0
E19,"Grove x Steakhouse USDC High Yield (Base, Morpho 4626)",1004254.243015449032630666625,1007405.415147632110886514155,0E-18,3151.172132183078255847530,3151.172132183078255847530,0,0
E23,"Steakhouse Prime Instant (Base, Morpho V2)",0E-8,16006741.12761191178963911569,15993565.70818382232003000,13175.41942808946960911569,13175.41942808946960911569,0,0
E20,Janus Henderson Anemoy AAA CLO (JAAA-avalanche),256773500.000000,256878500.000000,0,105000.000000,105000.000000,0,0
E21,Galaxy Arch CLO Token (GACLO-1),49900000.00,49900000.00,0,0.00,0.00,0,0
E22,Anemoy Tokenized Apollo Diversified Credit Fund (ACRDX),51026217.85274291551875781469,50674767.85906379438835997345,0E-9,-351449.99367912113039784124,-351449.99367912113039784124,0,0
