venue_id,label,value_som,value_eom,period_inflow,revenue,actual_revenue,br_charge,sky_direct_shortfall
S1,Spark USDS (SparkLend spToken),177429260.5088839393092062150,556639355.913908391386245100,378751816.894470694089993581,458278.5105537579870453040,458278.5105537579870453040,0,0
S2,Spark USDC (SparkLend spToken),43177397.52102100,43659321.09212900,336431.138974,145492.43213400,145492.43213400,0,0
S3,Spark USDT (SparkLend spToken),339412952.95457700,220863532.35860200,-119515986.194008,966565.59803300,966565.59803300,0,0
S4,Spark DAI (SparkLend spToken),332838656.1368769804909455760,305426388.3172730421922184450,-28309659.899142064487134101,897392.0795381261884069700,897392.0795381261884069700,0,0
S5,Spark PYUSD (SparkLend spToken),144386807.11752200,99995755.66040600,-44629741.285453,238689.82833700,238689.82833700,0,0
S6,Aave Ethereum Lido USDS (aToken),0.00028170287416918200,0.00051842303049775700,0.000236230804321038,4.8935200753700E-7,4.8935200753700E-7,0,0
S7,Aave Ethereum USDS (aToken),0.00573535664501557700,0.00573936985854387200,0,0.00000401321352829500,0.00000401321352829500,0,0
S8,Aave Ethereum USDC (aToken),0.05717700,0.05735400,0,0.00017700,0.00017700,0,0
S9,Aave Ethereum USDT (aToken),0,0,0,0,0,0,0
S10,Spark Blue Chip USDC Vault (Morpho),10124757.36060806899464269379,976334.4376037563380806224699,-9171336.5557913969467707600,22913.632787084290208688680,22913.632787084290208688680,0,0
S11,Spark Blue Chip USDT Vault (Morpho V2),0,0,0,0,0,0,0
S12,Spark DAI Vault (Morpho),286.4890802084861353555143672,332.9212943539781376426526895,44.11518730751347576308473503,2.31702683797852652405358727,2.31702683797852652405358727,0,0
S13,Spark USDS Vault (Morpho),21.89391784813579692189326674,21.90604334087989527416135292,0.0001620592715205067395600,0.01196343347257784552852618,0.01196343347257784552852618,0,0
S14,Maple syrupUSDC (ERC-4626),300001048.42683601689600,100000608.93181282133700,-200851794.1611189300,851354.66609573444100,851354.66609573444100,0,0
S15,Maple syrupUSDT (ERC-4626),0,0,0,0,0,0,0
S16,Ethena Staked USDe (sUSDe),98.21869394878629173104165823,98.60727406618892813912339964,0,0.38858011740263640808174141,0.38858011740263640808174141,0,0
S17,Fluid Savings USDS (fsUSDS),0.001240144670509943245164423552,0.001240144670509943245164423552,0,0E-30,0E-30,0,0
S18,Arkis Spark Prime USDC 1 (ERC-4626),15024030.5944191553500,15106645.2363251587500,0,82614.6419060034000,82614.6419060034000,0,0
S19,BlackRock USD Institutional Digital Liquidity Fund (BUIDL-I),0,0,0.00,31975.15760846766379457037800,0.00,-31975.15760846766379457037800,0
S20,Janus Henderson Anemoy Treasury Fund (JTRSY),0,0,0.000000,0,0.000000,0,0
S21,Superstate Short Duration US Government Securities Fund (USTB),0,0,0.000000,0,0.000000,0,0
S22,Superstate Crypto Carry Fund (USCC),0,0,0.000000,0.000000,0.000000,0,0
S23,Anchorage off-chain custodial position,0,0,0,0,0,0,0
